"","name","degree","color","axis","symbol","malefemale","agecat","com","size","radius"
"115","115",0.408488936,"indianred2",1,NA,"F","calf",3,0.4901867232,0.4901867232
"114","114",0.600065433,"slateblue4",1,NA,"F","calf",16,0.7200785196,1.2102652428
"116","116",0.718557758,"yellowgreen",1,NA,"F","calf",9,0.8622693096,2.0725345524
"106","106",0.790189857,"indianred2",1,NA,"F","calf",3,0.9482278284,3.0207623808
"113","113",0.801050868,"slateblue",1,NA,"F","calf",15,0.9612610416,3.9820234224
"105","105",0.916331201,"turquoise4",1,NA,"M","calf",13,1.0995974412,5.0816208636
"104","104",1.121722005,"steelblue1",1,NA,"F","calf",12,1.346066406,6.4276872696
"110","110",1.19885094,"lightgoldenrod1",1,NA,"M","calf",7,1.438621128,7.8663083976
"112","112",1.201265075,"yellow1",1,NA,"F","calf",8,1.44151809,9.3078264876
"107","107",0.387732389,"steelblue4",2,NA,"F","juvenile",14,0.4652788668,0.4652788668
"18","18",0.408254516,"lightsalmon",2,NA,"F","juvenile",4,0.4899054192,0.955184286
"35","35",0.462788544,"red3",2,NA,"F","juvenile",2,0.5553462528,1.5105305388
"56","56",0.472902856,"orange2",2,NA,"F","juvenile",6,0.5674834272,2.078013966
"6","6",0.576828508,"firebrick4",2,NA,"F","juvenile",1,0.6921942096,2.7702081756
"24","24",0.633460009,"mediumseagreen",2,NA,"F","juvenile",10,0.7601520108,3.5303601864
"42","42",0.650198517,"yellowgreen",2,NA,"F","juvenile",9,0.7802382204,4.3105984068
"60","60",0.68638221,"seagreen",2,NA,"F","juvenile",11,0.823658652,5.1342570588
"109","109",0.733193713,"indianred2",2,NA,"F","juvenile",3,0.8798324556,6.0140895144
"23","23",0.735706424,"lightsalmon",2,NA,"M","juvenile",4,0.8828477088,6.8969372232
"22","22",0.81180587,"lightgoldenrod1",2,NA,"M","juvenile",7,0.974167044,7.8711042672
"12","12",0.950160294,"yellow1",2,NA,"M","juvenile",8,1.1401923528,9.01129662
"29","29",0.380910079,"tan1",3,NA,"M","adult",5,0.4570920948,0.4570920948
"32","32",0.385167416,"red3",3,NA,"F","adult",2,0.4622008992,0.919292994
"31","31",0.408245877,"firebrick4",3,NA,"F","adult",1,0.4898950524,1.4091880464
"11","11",0.490370508,"steelblue4",3,NA,"F","adult",14,0.5884446096,1.997632656
"20","20",0.492126863,"tan1",3,NA,"M","adult",5,0.5905522356,2.5881848916
"43","43",0.494997881,"orange2",3,NA,"F","adult",6,0.5939974572,3.1821823488
"51","51",0.501237187,"tan1",3,NA,"M","adult",5,0.6014846244,3.7836669732
"4","4",0.532692139,"firebrick4",3,NA,"F","adult",1,0.6392305668,4.42289754
"34","34",0.577530043,"orange2",3,NA,"F","adult",6,0.6930360516,5.1159335916
"40","40",0.604385884,"firebrick4",3,NA,"F","adult",1,0.7252630608,5.8411966524
"19","19",0.636587616,"firebrick4",3,NA,"M","adult",1,0.7639051392,6.6051017916
"3","3",0.660145522,"seagreen",3,NA,"F","adult",11,0.7921746264,7.397276418
"33","33",0.666556052,"firebrick4",3,NA,"F","adult",1,0.7998672624,8.1971436804
"49","49",0.674230186,"firebrick4",3,NA,"M","adult",1,0.8090762232,9.0062199036
"25","25",0.687169816,"slateblue4",3,NA,"F","adult",16,0.8246037792,9.8308236828
"27","27",0.709360419,"indianred2",3,NA,"F","adult",3,0.8512325028,10.6820561856
"8","8",0.737420971,"red3",3,NA,"F","adult",2,0.8849051652,11.5669613508
"36","36",0.76773783,"yellowgreen",3,NA,"F","adult",9,0.921285396,12.4882467468
"41","41",0.781869881,"firebrick4",3,NA,"M","adult",1,0.9382438572,13.426490604
"28","28",0.786284946,"mediumseagreen",3,NA,"F","adult",10,0.9435419352,14.3700325392
"1","1",0.798960301,"red3",3,NA,"F","adult",2,0.9587523612,15.3287849004
"44","44",0.852432788,"firebrick4",3,NA,"M","adult",1,1.0229193456,16.351704246
"9","9",0.859697376,"lightsalmon",3,NA,"F","adult",4,1.0316368512,17.3833410972
"14","14",0.877585461,"steelblue1",3,NA,"F","adult",12,1.0531025532,18.4364436504
"21","21",0.925924482,"firebrick4",3,NA,"M","adult",1,1.1111093784,19.5475530288
"16","16",1.022844672,"lightgoldenrod1",3,NA,"F","adult",7,1.2274136064,20.7749666352
"17","17",1.046728955,"turquoise4",3,NA,"F","adult",13,1.256074746,22.0310413812
"26","26",1.146853651,"slateblue",3,NA,"F","adult",15,1.3762243812,23.4072657624
"30","30",1.217428295,"yellow1",3,NA,"F","adult",8,1.460913954,24.8681797164
