"","name","degree","color","axis","symbol","malefemale","agecat","com","size","radius"
"113","113",0.280683139,"red3",1,NA,"F","calf",1,0.3368197668,0.3368197668
"102","102",0.72944466,"lightgoldenrod1",1,NA,"M","calf",2,0.875333592,1.2121533588
"56","56",0.476068434,"lightgoldenrod1",2,NA,"F","juvenile",2,0.5712821208,0.5712821208
"105","105",0.730565233,"seagreen",2,NA,"M","juvenile",3,0.8766782796,1.4479604004
"52","52",0.201533698,"red3",3,NA,"M","adult",1,0.2418404376,0.2418404376
"40","40",0.245363967,"red3",3,NA,"F","adult",1,0.2944367604,0.536277198
"16","16",0.271698003,"red3",3,NA,"F","adult",1,0.3260376036,0.8623148016
"36","36",0.276900115,"red3",3,NA,"F","adult",1,0.332280138,1.1945949396
"51","51",0.301947719,"red3",3,NA,"M","adult",1,0.3623372628,1.5569322024
"19","19",0.32803808,"red3",3,NA,"M","adult",1,0.393645696,1.9505778984
"45","45",0.336906903,"red3",3,NA,"M","adult",1,0.4042882836,2.354866182
"37","37",0.342740254,"red3",3,NA,"F","adult",1,0.4112883048,2.7661544868
"44","44",0.411365278,"red3",3,NA,"M","adult",1,0.4936383336,3.2597928204
"32","32",0.418530417,"red3",3,NA,"F","adult",1,0.5022365004,3.7620293208
"30","30",0.471180227,"red3",3,NA,"F","adult",1,0.5654162724,4.3274455932
"34","34",0.55972007,"lightgoldenrod1",3,NA,"F","adult",2,0.671664084,4.9991096772
"17","17",0.800155797,"seagreen",3,NA,"F","adult",3,0.9601869564,5.9592966336
