"","name","degree","color","axis","symbol","malefemale","agecat","com","size","radius"
"119","119",0.905004481,"yellow1",1,NA,"M","calf",4,1.0860053772,1.0860053772
"107","107",0.288648856,"firebrick4",2,NA,"F","juvenile",1,0.3463786272,0.3463786272
"60","60",0.671818125,"turquoise4",2,NA,"F","juvenile",6,0.80618175,1.1525603772
"55","55",0.682805004,"firebrick4",2,NA,"M","juvenile",1,0.8193660048,1.971926382
"56","56",0.758474056,"indianred2",2,NA,"F","juvenile",2,0.9101688672,2.8820952492
"23","23",0.848161998,"firebrick4",2,NA,"M","juvenile",1,1.0177943976,3.8998896468
"12","12",0.879307568,"tan1",2,NA,"M","juvenile",3,1.0551690816,4.9550587284
"112","112",1.106076539,"tan1",2,NA,"F","juvenile",3,1.3272918468,6.2823505752
"117","117",1.231469998,"slateblue",2,NA,"M","juvenile",7,1.4777639976,7.7601145728
"102","102",1.314539261,"indianred2",2,NA,"M","juvenile",2,1.5774471132,9.337561686
"51","51",0.327219218,"firebrick4",3,NA,"M","adult",1,0.3926630616,0.3926630616
"52","52",0.339718315,"yellowgreen",3,NA,"M","adult",5,0.407661978,0.8003250396
"45","45",0.374397761,"firebrick4",3,NA,"M","adult",1,0.4492773132,1.2496023528
"36","36",0.394384176,"firebrick4",3,NA,"F","adult",1,0.4732610112,1.722863364
"16","16",0.410109923,"firebrick4",3,NA,"F","adult",1,0.4921319076,2.2149952716
"35","35",0.460741088,"firebrick4",3,NA,"F","adult",1,0.5528893056,2.7678845772
"15","15",0.493998227,"firebrick4",3,NA,"F","adult",1,0.5927978724,3.3606824496
"8","8",0.526994488,"firebrick4",3,NA,"F","adult",1,0.6323933856,3.9930758352
"1","1",0.601259417,"firebrick4",3,NA,"F","adult",1,0.7215113004,4.7145871356
"21","21",0.657209212,"firebrick4",3,NA,"M","adult",1,0.7886510544,5.50323819
"3","3",0.660151182,"turquoise4",3,NA,"F","adult",6,0.7921814184,6.2954196084
"34","34",0.695874168,"indianred2",3,NA,"F","adult",2,0.8350490016,7.13046861
"33","33",0.71241846,"yellowgreen",3,NA,"F","adult",5,0.854902152,7.985370762
"17","17",0.723613358,"firebrick4",3,NA,"F","adult",1,0.8683360296,8.8537067916
"44","44",0.737571907,"firebrick4",3,NA,"M","adult",1,0.8850862884,9.73879308
"43","43",0.764622496,"indianred2",3,NA,"F","adult",2,0.9175469952,10.6563400752
"5","5",0.810204369,"firebrick4",3,NA,"F","adult",1,0.9722452428,11.628585318
"40","40",0.863452131,"yellow1",3,NA,"F","adult",4,1.0361425572,12.6647278752
"31","31",0.883973844,"yellow1",3,NA,"F","adult",4,1.0607686128,13.725496488
"13","13",1.022899344,"firebrick4",3,NA,"F","adult",1,1.2274792128,14.9529757008
"30","30",1.068183229,"tan1",3,NA,"F","adult",3,1.2818198748,16.2347955756
"27","27",1.285814187,"slateblue",3,NA,"F","adult",7,1.5429770244,17.7777726
