"","name","degree","color","axis","symbol","malefemale","agecat","com","size","radius"
"120","120",0.846240301,"darkslateblue",1,NA,"F","calf",10,1.0154883612,1.0154883612
"107","107",0.406121949,"tan1",2,NA,"F","juvenile",3,0.4873463388,0.4873463388
"56","56",0.508572148,"indianred2",2,NA,"F","juvenile",2,0.6102865776,1.0976329164
"117","117",0.542292564,"steelblue4",2,NA,"M","juvenile",8,0.6507510768,1.7483839932
"23","23",0.607689048,"firebrick4",2,NA,"M","juvenile",1,0.7292268576,2.4776108508
"12","12",0.703622159,"firebrick4",2,NA,"M","juvenile",1,0.8443465908,3.3219574416
"119","119",0.714068716,"slateblue",2,NA,"M","juvenile",9,0.8568824592,4.1788399008
"111","111",0.776226432,"steelblue1",2,NA,"F","juvenile",7,0.9314717184,5.1103116192
"102","102",0.874326808,"indianred2",2,NA,"M","juvenile",2,1.0491921696,6.1595037888
"60","60",0.885412731,"seagreen",2,NA,"F","juvenile",6,1.0624952772,7.221999066
"51","51",0.092159557,"tan1",3,NA,"M","adult",3,0.1105914684,0.1105914684
"36","36",0.319585595,"firebrick4",3,NA,"F","adult",1,0.383502714,0.4940941824
"52","52",0.374574404,"tan1",3,NA,"M","adult",3,0.4494892848,0.9435834672
"54","54",0.462660082,"yellowgreen",3,NA,"M","adult",5,0.5551920984,1.4987755656
"44","44",0.470841253,"firebrick4",3,NA,"M","adult",1,0.5650095036,2.0637850692
"58","58",0.472319461,"firebrick4",3,NA,"M","adult",1,0.5667833532,2.6305684224
"15","15",0.476035308,"firebrick4",3,NA,"F","adult",1,0.5712423696,3.201810792
"11","11",0.477770773,"tan1",3,NA,"F","adult",3,0.5733249276,3.7751357196
"34","34",0.486880689,"indianred2",3,NA,"F","adult",2,0.5842568268,4.3593925464
"4","4",0.523613251,"steelblue1",3,NA,"F","adult",7,0.6283359012,4.9877284476
"45","45",0.528979261,"yellowgreen",3,NA,"M","adult",5,0.6347751132,5.6225035608
"8","8",0.574966676,"yellow1",3,NA,"F","adult",4,0.6899600112,6.312463572
"16","16",0.579415909,"firebrick4",3,NA,"F","adult",1,0.6952990908,7.0077626628
"49","49",0.617002096,"firebrick4",3,NA,"M","adult",1,0.7404025152,7.748165178
"40","40",0.637770068,"slateblue",3,NA,"F","adult",9,0.7653240816,8.5134892596
"43","43",0.645428169,"indianred2",3,NA,"F","adult",2,0.7745138028,9.2880030624
"17","17",0.670808732,"steelblue4",3,NA,"F","adult",8,0.8049704784,10.0929735408
"35","35",0.672470866,"yellow1",3,NA,"F","adult",4,0.8069650392,10.89993858
"55","55",0.71750182,"firebrick4",3,NA,"M","adult",1,0.861002184,11.760940764
"1","1",0.729611156,"firebrick4",3,NA,"F","adult",1,0.8755333872,12.6364741512
"19","19",0.777824793,"firebrick4",3,NA,"M","adult",1,0.9333897516,13.5698639028
"5","5",0.808641358,"firebrick4",3,NA,"F","adult",1,0.9703696296,14.5402335324
"3","3",1.020450757,"seagreen",3,NA,"F","adult",6,1.2245409084,15.7647744408
"31","31",1.074204532,"darkslateblue",3,NA,"F","adult",10,1.2890454384,17.0538198792
