"","name","degree","color","axis","symbol","malefemale","agecat","com","size","radius"
"114","114",0.687500968,"steelblue4",1,NA,"F","calf",14,0.8250011616,0.8250011616
"117","117",0.721213973,"slateblue4",1,NA,"M","calf",16,0.8654567676,1.6904579292
"115","115",0.798757363,"slateblue",1,NA,"F","calf",15,0.9585088356,2.6489667648
"116","116",0.816223041,"orange2",1,NA,"F","calf",6,0.9794676492,3.628434414
"119","119",0.853893077,"darkslateblue",1,NA,"M","calf",17,1.0246716924,4.6531061064
"113","113",0.872363519,"turquoise4",1,NA,"F","calf",13,1.0468362228,5.6999423292
"102","102",0.934030856,"lightsalmon",1,NA,"M","calf",4,1.1208370272,6.8207793564
"104","104",1.048901218,"seagreen",1,NA,"F","calf",11,1.2586814616,8.079460818
"118","118",1.155774276,"lightgoldenrod1",1,NA,"F","calf",7,1.3869291312,9.4663899492
"22","22",0.359080179,"yellow1",2,NA,"M","juvenile",8,0.4308962148,0.4308962148
"107","107",0.514698838,"lightgoldenrod1",2,NA,"F","juvenile",7,0.6176386056,1.0485348204
"18","18",0.578500182,"red3",2,NA,"F","juvenile",2,0.6942002184,1.7427350388
"60","60",0.646208236,"indianred2",2,NA,"F","juvenile",3,0.7754498832,2.518184922
"56","56",0.656813367,"lightsalmon",2,NA,"F","juvenile",4,0.7881760404,3.3063609624
"55","55",0.733521867,"indianred2",2,NA,"M","juvenile",3,0.8802262404,4.1865872028
"109","109",0.797461746,"slateblue4",2,NA,"F","juvenile",16,0.9569540952,5.143541298
"105","105",0.905743073,"steelblue1",2,NA,"M","juvenile",12,1.0868916876,6.2304329856
"23","23",0.962752391,"red3",2,NA,"M","juvenile",2,1.1553028692,7.3857358548
"12","12",0.986006577,"tan1",2,NA,"M","juvenile",5,1.1832078924,8.5689437472
"6","6",1.068449584,"mediumseagreen",2,NA,"F","juvenile",10,1.2821395008,9.851083248
"112","112",1.197372524,"tan1",2,NA,"F","juvenile",5,1.4368470288,11.2879302768
"42","42",1.219494045,"orange2",2,NA,"F","juvenile",6,1.463392854,12.7513231308
"52","52",0.217549295,"firebrick4",3,NA,"M","adult",1,0.261059154,0.261059154
"32","32",0.419293432,"yellowgreen",3,NA,"F","adult",9,0.5031521184,0.7642112724
"51","51",0.51004896,"firebrick4",3,NA,"M","adult",1,0.612058752,1.3762700244
"45","45",0.598589268,"firebrick4",3,NA,"M","adult",1,0.7183071216,2.094577146
"24","24",0.635470577,"red3",3,NA,"F","adult",2,0.7625646924,2.8571418384
"16","16",0.656415511,"yellow1",3,NA,"F","adult",8,0.7876986132,3.6448404516
"3","3",0.72112739,"indianred2",3,NA,"F","adult",3,0.865352868,4.5101933196
"8","8",0.751827678,"yellowgreen",3,NA,"F","adult",9,0.9021932136,5.4123865332
"43","43",0.758866931,"lightsalmon",3,NA,"F","adult",4,0.9106403172,6.3230268504
"34","34",0.785922253,"lightsalmon",3,NA,"F","adult",4,0.9431067036,7.266133554
"19","19",0.79865895,"firebrick4",3,NA,"M","adult",1,0.95839074,8.224524294
"25","25",0.801021331,"steelblue4",3,NA,"F","adult",14,0.9612255972,9.1857498912
"54","54",0.801865758,"firebrick4",3,NA,"M","adult",1,0.9622389096,10.1479888008
"5","5",0.805960906,"indianred2",3,NA,"F","adult",3,0.9671530872,11.115141888
"1","1",0.82003043,"red3",3,NA,"F","adult",2,0.984036516,12.099178404
"15","15",0.858934124,"slateblue",3,NA,"F","adult",15,1.0307209488,13.1298993528
"44","44",0.880692834,"tan1",3,NA,"M","adult",5,1.0568314008,14.1867307536
"36","36",0.894736091,"orange2",3,NA,"F","adult",6,1.0736833092,15.2604140628
"14","14",0.89921864,"seagreen",3,NA,"F","adult",11,1.079062368,16.3394764308
"49","49",0.899438715,"firebrick4",3,NA,"M","adult",1,1.079326458,17.4188028888
"33","33",0.938641536,"firebrick4",3,NA,"F","adult",1,1.1263698432,18.545172732
"37","37",0.968788907,"mediumseagreen",3,NA,"F","adult",10,1.1625466884,19.7077194204
"31","31",0.979090369,"firebrick4",3,NA,"F","adult",1,1.1749084428,20.8826278632
"21","21",1.0061814,"firebrick4",3,NA,"M","adult",1,1.20741768,22.0900455432
"40","40",1.020505466,"darkslateblue",3,NA,"F","adult",17,1.2246065592,23.3146521024
"11","11",1.031923105,"lightgoldenrod1",3,NA,"F","adult",7,1.238307726,24.5529598284
"17","17",1.086599582,"steelblue1",3,NA,"F","adult",12,1.3039194984,25.8568793268
"30","30",1.256060749,"tan1",3,NA,"F","adult",5,1.5072728988,27.3641522256
"13","13",1.345927876,"red3",3,NA,"F","adult",2,1.6151134512,28.9792656768
"26","26",1.355300198,"turquoise4",3,NA,"F","adult",13,1.6263602376,30.6056259144
"9","9",1.43878906,"red3",3,NA,"F","adult",2,1.726546872,32.3321727864
